"","roundNumber","NB_EXAMPLE_MODEL","NB_FEAT_NEUTRAL","NB_HELLO_NUMERAI","NB_TARGET_ENSEMBLE","V5_EXAMPLE_PREDS","V5_LGBM_CT_BLEND","V5_LGBM_CYRUSD","V5_LGBM_TEAGER2B","NUMERAI_SWMM","INTEGRATION_TEST"
"1",843,NA,-0.007222245,-0.006503065,-0.02850541,NA,-0.0054578,-0.006855315,-0.003176535,0.014351195,NA
"2",844,NA,0.001511405,-0.001982775,-0.00953375,NA,-0.00785655,-0.00640231,-0.008711945,0.015166635,NA
"3",845,NA,0.028278965,0.00994162,0.00180674,NA,-0.015710805,-0.009299645,-0.019648645,0.01336488,NA
"4",846,NA,0.01112737,-0.000382625000000001,-0.02590563,NA,-0.01648517,-0.00067846,-0.03033806,0.01500632,NA
"5",847,NA,0.014432505,0.003163415,-0.00544401,NA,-0.010286365,-0.00249285,-0.01746698,0.00936226000000001,NA
"6",848,NA,0.02325705,0.002202975,-0.00498446,NA,-0.015981455,-0.003757395,-0.02722035,0.01289714,NA
"7",849,NA,0.01793384,0.00748894,-0.01304081,NA,-0.01571436,-0.00133283,-0.02828036,0.013845825,NA
"8",850,NA,0.04357642,0.028312015,0.01468379,NA,-0.01662414,-0.001985005,-0.029726815,0.013751175,NA
"9",851,NA,0.014562445,0.001658855,-0.00728521,NA,-0.01581389,-0.010760785,-0.0198765,0.00755712,NA
"10",852,NA,0.032232905,0.02028802,0.00655513,NA,-0.01903286,-0.00243562,-0.03413899,0.00700135,NA
"11",853,NA,0.01154253,0.001886275,-0.01014186,NA,-0.0170821,-0.009509405,-0.02184613,0.00626605500000001,NA
"12",854,NA,0.029984335,0.025464745,0.021531895,NA,-0.013842725,-0.003716745,-0.02101554,0.000953470000000001,NA
"13",855,NA,0.025417285,0.01787371,0.01706089,NA,-0.003712585,0.00831896,-0.01438251,0.015180395,NA
"14",856,NA,0.027344995,0.021962435,0.007238475,NA,-0.01963084,-0.001005055,-0.03653898,0.00855871,NA
"15",857,NA,0.049975475,0.04025674,0.02103884,NA,-0.01288762,0.00354179,-0.02787507,0.010838725,NA
"16",858,NA,0.03401974,0.025706525,0.01935226,NA,-0.01321159,-0.00096185,-0.024581295,0.01163606,NA
"17",859,NA,0.046655995,0.032030035,0.03370504,NA,-0.010058045,0.00208566,-0.02155745,0.012570015,NA
"18",860,NA,0.03393826,0.01804496,0.018423085,NA,-0.01382544,0.00192435,-0.02807827,0.010326705,NA
"19",861,NA,0.04753019,0.033672415,0.03313514,NA,-0.009216195,0.00548735,-0.02375265,0.01480422,NA
"20",862,NA,0.049140265,0.03335476,0.02796635,NA,-0.00932294,0.00682707,-0.02375497,0.014738785,NA
"21",863,NA,0.050145835,0.03303715,0.025593815,NA,-0.005471975,0.01228955,-0.02246091,0.01678367,NA
"22",864,NA,0.037144465,0.021910605,0.00784808,NA,-0.015768225,0.001328445,-0.030271815,0.008785815,NA
"23",865,NA,0.050176305,0.036037355,0.021251855,NA,0.00080591,0.023547345,-0.02107441,0.01854397,NA
"24",866,NA,0.04021672,0.03378019,0.0241466,NA,-0.002609855,0.014968175,-0.01939035,0.01416761,NA
"25",867,NA,0.03762164,0.03482138,0.019354175,NA,-0.00802985,0.007207615,-0.02116463,0.01179382,NA
"26",868,NA,0.055616355,0.04557911,0.03940369,NA,-0.0135408,0.009485655,-0.03395389,0.01086839,NA
"27",869,NA,0.08010901,0.068830205,0.053009055,NA,-0.01369226,0.006748765,-0.033033565,0.007184665,NA
"28",870,NA,0.068541435,0.05756025,0.036439045,NA,-0.002607645,0.02300088,-0.02737469,0.013497555,NA
"29",871,NA,0.05164439,0.04063975,0.026841015,NA,-0.005518175,0.02158244,-0.031253965,0.01432484,NA
"30",872,NA,0.046780595,0.04652338,0.02995416,NA,-0.000958510000000001,0.0205588654472,-0.02343787,0.02167986,NA
"31",873,NA,0.080063035,0.07401508,0.054035765,NA,0.01718525,0.03840222,-0.00478323,0.031010295,NA
"32",874,NA,0.066717705,0.06006059,0.040067255,NA,0.02306864,0.03315638,0.011708345,0.021356675,NA
"33",875,NA,0.0582114,0.0565063,0.06160219,NA,0.01787348,0.02498049,0.008249645,0.022906355,NA
"34",876,NA,0.06447785,0.051565665,0.050986725,NA,0.00194006,0.01692221,-0.01358511,0.02183176,NA
"35",877,NA,0.0606312,0.05322005,0.04936776,NA,-0.00060297,0.0086882,-0.009928175,0.012428455,NA
"36",878,NA,0.047348265,0.035837385,0.0282935,NA,-0.006905815,-0.000335295000000001,-0.01247384,0.013666385,NA
"37",879,NA,0.051784025,0.04776555,0.04089343,NA,0.002277605,0.00374596,-0.00045013,0.017339895,NA
"38",880,NA,0.061013675,0.06416574,0.048985285,NA,0.0004592,0.01511061,-0.015420495,0.02494042,0.0004592
"39",881,NA,0.05150502,0.064609495,0.05569879,NA,-0.001154555,0.01361988,-0.015509115,0.018555795,-0.00115113
"40",882,NA,0.05342647,0.066156965,0.06694354,NA,0.00222666,0.013449465,-0.009309315,0.0240181,0.00222666
"41",883,NA,0.071524075,0.07578807,0.065155015,NA,-0.00419583,0.015463795,-0.022578365,0.01817593,-0.00419559
"42",884,NA,0.06293384,0.07262173,0.071987,NA,-0.00482809,0.00273328,-0.01141136,0.019208755,-0.00482785
"43",885,NA,0.050204795,0.05453009,0.060817645,NA,0.006085565,0.010571285,0.000776625,0.022703735,0.00608369
"44",886,NA,0.05321863,0.059047005,0.05672569,NA,0.00326839,0.009010025,-0.002680635,0.02336138,0.00326839
"45",887,NA,0.07061756,0.068864895,0.070276345,NA,0.0079079,0.01513893,0.000788615,0.028687015,0.007907745
"46",888,NA,0.07211417,0.06629126,0.079632525,NA,0.010723495,0.017670055,0.00437298,0.03090299,0.010723975
"47",889,NA,0.060466185,0.06945801,0.064567275,NA,0.005400565,0.01256041,-0.00156712,0.02904738,0.005400755
"48",890,NA,0.06994239,0.07434577,0.074966085,NA,0.014903605,0.023731128614,0.006214325,0.024062745,0.014903605
"49",891,NA,0.036211715,0.045036745,0.03557371,NA,0.010228815,0.01048459,0.011013245,0.018493415,0.010228595
"50",892,NA,0.061361825,0.05817942,0.048510885,NA,0.01024789,0.016491235,0.00394862,0.01938328,0.010247905
"51",893,NA,0.049940245,0.05464285,0.04921471,NA,0.001832825,0.000953895,0.0033541,0.010529795,0.00183267
"52",894,NA,0.05940797,0.06629221,0.049290685,NA,-0.01278217,-0.00586942,-0.01989684,0.012587745,-0.01278219
"53",895,NA,0.03759219,0.02940457,0.027415145,NA,-0.017875045,-0.01442059,-0.02008324,0.007935075,-0.017874875
"54",896,NA,0.032165425,0.025317205,0.02271087,NA,-0.015771065,-0.006394705,-0.022894535,0.00909752999999998,-0.015771065
"55",897,NA,0.044615025,0.038664085,0.032679105,NA,-0.01513165,-0.00893598,-0.019529055,0.013948445,-0.01513171
"56",898,NA,0.036338905,0.029968575,0.021067075,NA,-0.005200725,-0.01401119,0.003901135,0.01639816,-0.005201895
"57",899,NA,0.04169579,0.036411085,0.043589045,NA,3.28999999999954e-06,-0.0117289,0.011354701673,0.01227601,3.28999999999954e-06
"58",900,NA,0.03392384,0.0244002,0.039787745,NA,0.01374206,-0.00489404,0.030932235,0.005741645,0.0137344
"59",901,NA,0.00386782,-0.013702275,0.00856494,NA,0.00444291,-0.01729646,0.02571424,0.00458633,0.00444309
"60",902,NA,0.014676575,0.000330935,0.011562585,NA,0.01365847,-0.00437264,0.02970868,0.016321755,0.01365815
"61",903,NA,-0.00599656,-0.020310655,0.01395608,NA,0.015453275,-0.00386146,0.032230125,0.01192376,0.015468735
"62",904,NA,-0.00744483,-0.027440305,-0.000957495000000001,NA,0.0140664921314,-0.001590335,0.02789319,0.015597115,0.0140664921314
"63",905,NA,0.013878415,-0.01055786,0.01158939,NA,0.0080319,0.00351729,0.011261615,0.015193125,0.00800163
"64",906,NA,-0.00644277,-0.02477313,0.003344655,NA,0.00704342,-0.002745475,0.016496345,0.016777995,0.00704342
"65",907,NA,0.00452919,-0.015249825,0.00971791,NA,-0.003486475,-0.006311365,-0.000811215,0.016542205,-0.003472125
"66",908,NA,0.00315004,-0.00574234,0.022463285,NA,0.006048335,0.000670850000000001,0.011624725,0.018315195,0.00605827
"67",909,NA,0.02483629,0.00835665,0.036453345,NA,0.019827165,0.01513553,0.022610975,0.02201325,0.019809605
"68",910,NA,0.02218256,0.009297945,0.02557511,NA,0.0173291,0.01559843,0.0171217927982,0.024363135,0.017328625
"69",911,NA,0.0074002,-0.00297801,0.018941,NA,0.013957265,0.00504569,0.02180322,0.019749575,0.013939965
"70",912,NA,-0.00394412,-0.00889224,0.009187665,NA,0.01673787,0.01014093,0.02258145,0.022152515,0.016737065
"71",913,NA,-0.000381845,-0.00836573,0.000321404999999999,NA,-0.00198525,-0.002920045,-0.000696475,0.023170535,-0.00198519
"72",914,NA,0.009278745,-0.00229006,0.00093033,NA,0.008401955,0.005205935,0.012064225,0.023661335,0.008401955
"73",915,NA,0.01203611,0.002430065,-0.013906725,NA,0.01362764,0.00964241,0.01673466,0.021038725,0.01362713
"74",916,NA,0.018183705,0.009080115,-0.00577457,NA,0.004734095,0.001528675,0.009611255,0.0175961,0.004734095
"75",917,NA,0.03988946,0.02800574,0.024347735,NA,0.001436295,-0.00484729,0.00788125,0.01886823,0.001436115
"76",918,NA,0.023247755,0.014531555,0.009796175,NA,0.000232615,-0.00106734,0.000910360000000001,0.01586033,0.00020149
"77",919,NA,0.00436137,-0.00718964,-0.018442255,NA,-0.00808345,-0.006578505,-0.008582575,0.017136015,-0.00808345
"78",920,0.002788845,0.01996288,0.002788845,-0.001207035,-0.01199367,-0.01199425,-0.006725175,-0.01547938,0.01031909,-0.01199367
"79",921,0.00796729,0.022451435,0.00796729,0.015707825,-0.004946395,-0.004935425,-0.004488135,-0.004209665,0.01200853,-0.004946395
"80",922,-0.003034885,0.010646795,-0.003034885,0.022612665,-0.00532041,-0.00532051,-0.010988765,0.00353252,0.00979136999999999,-0.00532041
"81",923,0.001497505,0.00697218,0.001497505,0.014290385,-0.020869025,-0.020869025,-0.02189963,-0.016416165,0.00500014999999999,-0.020869025
"82",924,0.02309278,0.03326636,0.02309278,0.02884913,-0.008795595,-0.008795595,-0.009669665,-0.00555645,0.01171819,-0.008795595
"83",925,0.010950545,0.00632451,0.010950545,-0.001789175,-0.01613946,-0.0161393,-0.018272905,-0.011062725,0.00880158,-0.01613946
"84",926,-0.000372365,-0.011020625,-0.000372365,0.01045927,-0.00166927,-0.00166927,-0.00881889,0.005431686127,0.00725573,-0.00166927
"85",927,0.015704545,0.01243659,0.015704545,0.027630215,0.01565852,0.015567895,0.000646659999999999,0.030313725,0.014084085,0.01565852
"86",928,0.01442974,0.0056968,0.01442974,0.026578825,0.0097859,0.009695265,-0.00470113,0.023945375,0.01500016,0.0097859
"87",929,0.021531275,0.0157126,0.021531275,0.02475872,0.00763005,0.007629865,-0.003764465,0.01822752,0.0182501,0.00763005
"88",930,0.0113279734674,0.0092569,0.0113279734674,0.024786715,0.018106045,0.01815254,0.000236779999999999,0.03421182,0.017607095,0.018106045
"89",931,-0.00653674,-0.01021726,-0.00653674,-0.00123214,0.00374148,0.00374148,-0.00114001,0.008036365,0.015323765,0.00374148
"90",932,-0.004143645,-0.00716254,-0.004143645,0.016614535,0.010911875,0.010912055,0.002822955,0.01799039,0.013519475,0.010911875
"91",933,0.00197945,-0.004205405,0.00197945,0.025300425,0.01026545,0.01026545,-0.007017435,0.026251685,0.007120195,0.01026545
"92",934,-0.00742072,-0.02083301,-0.00742072,0.003702785,0.001772435,0.001772435,-0.013221005,0.01647338,0.010784755,0.001772435
"93",935,0.020339725,0.00752858,0.020339725,0.02666974,0.00922707,0.00922707,-0.00537307,0.02296886,0.01592217,0.00922707
"94",936,0.02010581,0.010780995,0.02010581,0.029677355,0.018872235,0.0188514,0.013011435,0.021875085,0.018252555,0.018872235
"95",937,0.0114024,0.0066509,0.0114024,0.01499433,0.007444085,0.00744402,0.00420203,0.009550665,0.01832903,0.007444085
"96",938,0.01481474,0.0120546542572,0.01481474,0.03099817,0.020142765,0.020142765,0.00718502,0.03060258,0.023476485,0.020142765
"97",939,0.00684289,0.00313796,0.00684289,0.017401615,0.01909682,0.019097005,0.000625270000000001,0.033689305,0.021352845,0.01909682
"98",940,0.007304755,0.00364346,0.007304755,0.017680985,0.00964319,0.00964319,-0.007527255,0.025430045,0.017323205,0.00964319
"99",941,0.019239645,0.007158185,0.019239645,0.02786847,0.019408835,0.01940936,0.006538445,0.029667515,0.0269874500000001,0.019408835
"100",942,0.018181565,0.00873605,0.018181565,0.009487845,0.016801315,0.01679315,0.00431349,0.02821611,0.02835166,0.016801315
"101",943,0.01227057,0.00315984,0.01227057,0.00791718,0.00713455,0.00713443,0.005916015,0.00662395,0.03306696,0.00713455
"102",944,0.00225925,-0.007591105,0.00225925,0.00825288,0.02714187,0.027142,0.01172533,0.040189075,0.032054615,0.02714187
"103",945,0.007433035,0.00521449,0.007433035,0.00467811,0.00348644,0.003487205,-0.008025295,0.013976725,0.021701725,0.00348644
"104",946,0.00372118,-0.002862115,0.00372118,-0.00299896,0.010513195,0.010513195,-0.00168928,0.02191764,0.0279554299999999,0.010513195
"105",947,0.00153671,-0.00021909,0.00153671,-0.00395843,-0.006830255,-0.00683035,-0.01326606,-0.00069891,0.0310311,-0.006830255
"106",948,0.00119813,0.00155122,0.00119813,0.00449023,0.00311452,0.0031145,-0.00469687,0.011801965,0.028166295,0.00311452
"107",949,0.01108855,0.01899439,0.01108855,0.01016646,-0.005263395,-0.005263615,-0.01085147,-0.0005667,0.024259965,-0.005263395
"108",950,0.00993405,0.00463846,0.00993405,-0.012400065,-0.01200192,-0.01200192,0.00236439,-0.02457501,0.028107725,-0.01200192
"109",951,0.01528686,0.00619233,0.01528686,-0.00124101,-0.010151785,-0.010151765,0.003479305,-0.0231212,0.0307400849999999,-0.010151785
"110",952,0.03424387,0.0244162,0.03424387,-0.0007058,-0.00325995,-0.00326002,0.0094542,-0.01485519,0.033275175,-0.00325995
"111",953,0.002299895,-0.00302394,0.002299895,-0.01619136,-0.004021745,-0.004021925,0.01162043,-0.01803679,0.03874086,-0.004021745
"112",954,-0.02410988,-0.02450031,-0.02410988,-0.03169134,0.004649585,0.004649855,0.01533051,-0.00507535,0.034040215,0.004649585
"113",955,-0.020622915,-0.025687865,-0.020622915,-0.028291075,0.007066005,0.007066005,0.027553715,-0.01237621,0.04208478,0.007066005
"114",956,-0.004178075,-0.01510373,-0.004178075,-0.023287945,-0.010175305,-0.010175305,0.006079645,-0.026245285,0.02872968,-0.010175305
"115",957,-0.0186846,-0.03380442,-0.0186846,-0.031881205,0.01128347,0.01128347,0.006037585,0.014929695,0.02808179,0.01128347
"116",958,-0.020792115,-0.027961975,-0.020792115,-0.024431645,0.005484505,0.005484505,0.00160448,0.00830157,0.032856475,0.005484505
"117",959,-0.026441105,-0.032347285,-0.026441105,-0.03044613,0.007074995,0.00707495,0.00938113,0.002927585,0.030511735,0.007074995
"118",960,-0.02929561,-0.03464044,-0.02929561,-0.02907005,0.02110953,0.021107945,0.01768041,0.020959845,0.0357162850000001,0.02110953
"119",961,-0.03385958,-0.03202715,-0.03385958,-0.031307335,0.01179907,0.01179909,0.012317905,0.009705915,0.025650085,0.01179907
"120",962,-0.02986517,-0.035363035,-0.02986517,-0.02898224,0.01984357,0.01984368,0.006130335,0.032476815,0.02809451,0.01984357
"121",963,-0.000989625000000001,-0.01400559,-0.000989625000000001,-0.00611076,0.02040583,0.02040545,0.00926391,0.02886086,0.023203015,0.02040583
"122",964,-0.01429598,-0.021144825,-0.01429598,-0.010783105,0.01455872,0.0145587,-0.00150158,0.02877326,0.01912171,0.01455872
"123",965,-0.01818522,-0.016128635,-0.01818522,-0.01949758,0.01119713,0.011197105,-0.00356925,0.024991085,0.024990055,0.01119713
"124",966,-0.015958915,-0.019665825,-0.015958915,-0.02713186,0.00685107,0.00685107,-0.00323971,0.01398802,0.015151025,0.00685107
"125",967,-0.025864565,-0.035989985,-0.025864565,-0.03271977,-0.00244028,-0.00244028,-0.00788534,0.002503485,0.012430825,-0.00244028
"126",968,-0.01743477,-0.02939339,-0.01743477,-0.04431455,0.006282135,0.00628736,-8.82650000000006e-05,0.011203045,0.01361897,0.006282135
"127",969,-0.015970735,-0.030650155,-0.015970735,-0.0435879,0.002825315,0.002825315,0.00798446,-0.003319165,0.01630362,0.002825315
"128",970,-0.033234275,-0.04984275,-0.033234275,-0.06666362,-0.00094191,-0.00094305,0.00053125,-0.003976625,0.013405,-0.00094191
"129",971,-0.01342304,-0.01937946,-0.01342304,-0.03694015,0.00425387,0.00425387,0.004052485,0.00298558,0.012195735,0.00425387
"130",972,-0.01830979,-0.026906765,-0.01830979,-0.04145917,0.004108514772,0.0041087680986,0.00227093,0.00523791,0.00760820499999999,0.004108514772
"131",973,-0.00488736,-0.01212286,-0.00488736,-0.023886225,0.012954495,0.012954495,0.018244615,0.006838985,0.007807265,0.012954495
"132",974,-0.001536345,-0.01326689,-0.001536345,-0.03555354,0.003984955,0.003974245,0.009702935,-0.00297576,-0.00055047,0.003984955
"133",975,-0.02380848,-0.028252025,-0.02380848,-0.03531363,0.0013227,0.001355375,-0.002689735,0.005865855,-0.005847315,0.0013227
"134",976,-0.004244465,-0.005403285,-0.004244465,-0.028611405,0.009121745,0.009121745,0.013499075,0.002942205,-0.00514374499999999,0.009121745
"135",977,-0.029586495,-0.03171125,-0.029586495,-0.0540426,-0.006245385,-0.006111995,0.00583064,-0.015903115,-0.002647965,-0.006245385
